translation,gloss
I am sure you noticed this bandage on my hand and wonder what happened.,IX-1p IX-1p REALLY IX-2p NOTICE (5)xx #DO (5)xx
"Yesterday, I worked with my friend.",5xx REALLY YESTERDAY IX-1p WORK WITH FRIEND IX-loc
Tony and I grew up best friends.,fs-TONY IX-1p-pl-2 GROW-UP POSS-1p BEST FRIEND
"We were working, doing landscaping.",IX-1p-pl-2 WORK LANDSCAPE fs-LANDSCAPING IX-1p 5xx
We were cutting wood using a cutting tool that had a metal edge.,IX-1p-pl-2 CUT fs-WOOD fs-CUTTER SAME DCL:bent-5xx WITH METAL CORNER
The metal corner was really sharp! It had a big log on it.,CORNER REALLY IX-3p SHARP (Y)WOW METAL WITH BIG fs-LOG DCL:curved5xx
There was many different sizes.,DCL:curved5xx REALLY DIFFERENT SIZE REALLY DCL:5xx
My boss is pretty strict.,REALLY POSS-1p BOSS PRETTY STRICT SAME
He told us we must finish everything before sunset.,SAY 5xx MUST END #ALL BEFORE SUNSET
I worked at a quick pace.,IX-1p FINE IX-1p ICL:curved5xx
There was one big log that I picked up but then I started to drop it.,IMPACT ONE BIG fs-LOG DCL:curved5xx IX-1p BCL:curved5xx BCL:curved5xx
I tried to catch it.,IX-1p BCL:curved5xx GET fs-IT #BACK
I got the log but the metal corner hit my hand.,BUT STILL BCL:curved5xx DCL:Bxx METAL CORNER
"When the metal corner sliced my hand, really, wow!",CORNER DCL:crvd-Bxx 5xx REALLY 5xx IX-3p (5)WOW
It looked like my fingers had been cut off!,LOOK+SAME IX-3p TRUE-BUSINESS CHOP IX-1p 5xx
It was not first time someone cut his finger with that same machine.,IX-3p NOT FIRST TIME SOMETHING/ONE OTHER TRUE-BUSINESS CUT POSS-3p SLICE FOR SAME THAT MACHINE
"Anyway, I tapped Tony and told him the bad news.",STILL 5xx ANYWAY/NOT-MATTER SAME IX-1p 5xx IX-1p BCL:Bent5xx fs-TONY BAD fs-NEWS
I showed him my hand--it was bleeding profusely.,BLOOD REALLY 5xx
"Tony said that I should go to the hospital and I asked, ""are you sure?""",fs-TONY SAY 5xx MUST GO HOSPITAL IX-1p 5xx IX-2p REALLY
I thought maybe I could just bandage it and put pressure on it so it wouldn't bleed anymore.,IX-1p 5xx IX-1p THINK CAN BANDAGE DCL:Sxx HOLD xx PRESSURE ON fs-IT DCL:crvd-5xx REFUSE BLOOD MORE
I was holding my hand but it still bled through my shirt.  Can you imagine that?,REALLY TRUE-BUSINESS IX-1p BCL:curved5xx STILL BLOOD THROUGH POSS-1p SHIRT IMAGINE REALLY 5xx
So I decided go to the hospital.,5xx IX-1p 5xx DECIDE GO HOSPITAL FINE
I told my boss that I had to go to the hospital because I needed stitches.,IX-1p TELL BOSS 5xx IX-1p NEED EXCUSE-GO (5)xx NEED STITCH
"I thought to myself ""fine"" and went off to the hospital.",IX-1p FINE GO HOSPITAL IX-1p FINE
A thought struck me; I pulled out my wallet and opened it...,FINE 5xx THINK+APPEAR IX-1p ICLxx POSS-1p WALLET ICLxx
