input sentence,translation
"under n is ""noisy,"" too. this further informs that deaf people aren't silent, as people think. deaf people do really make noises.",PEOPLE REALLY NICE/CLEAN DEAF PEOPLE NICE/CLEAN MAKE THIS NOW+AFTERNOON MAKE DEAF THAT MAKE THIS UNDER NOW+AFTERNOON NEWTON DEAF THIS THIS MAKE PEOPLE UNDER DEAF THIS NICE/CLEAN PEOPLE PEOPLE NOW+AFTERNOON UNDER
who loves to watch fireworks?,FIRST-IN-LIST WHO WATCH FIRE TOILET
john did not visit mary.,NOT NOT-LIKE NOT-YET NOT VISIT
sunset and then sunrise.  the house starts shaking loudly.,START BECAUSE BRING FISHING HEARING BECAUSE BRING NONE/NOTHING BRING START
the clothes are on sale because they used to be expensive.,DRESS/CLOTHES BECAUSE AREA MAYBE BECAUSE BELONG BECAUSE MAYBE TO/UNTIL VACATION HOUSE
"if clothes are on sale, my friends and i are definitely going to the mall.",HUSBAND THEN FRIEND TO/UNTIL ICL PERSON ICL BOSTON NONE/NOTHING ICL INFORM AND ICL PERSON AND ICL
"he said, ""pissing like a horse is good."" she said, ""no! it's awful.  it's very loud.""",AND GOOD/THANK-YOU NONE/NOTHING NONE/NOTHING ALSO ARRIVE ALSO NONE/NOTHING HEARING HERE HERE ALSO HEARING GOOD/THANK-YOU ALSO THING HEARING A-LOT ACCEPT HERE ALL-NIGHT ANSWER+AGENT HEAR NONE/NOTHING HERE HEAR NONE/NOTHING ALSO AGAIN
someone arrived here.,CALL-BY-PHONE ONE ARRIVE
"john told mary, ""i am buying a house.""",JOHN MARY JOHN ANGELA ARRIVE ASIA ANGELA NONE/NOTHING ANGELA JOHN ANGELA
"once he learns the truth, he will be disgusted.",ONCE STILL MAYBE STILL MAYBE STILL DISCUSS HERE HEAR STILL
"there was a lot of beer everwhere, and people mingling.",WAS ASIA AND BEER ANGELA PEOPLE AAA PEOPLE PEOPLE AAA AND
"my friend looked at him and said ""oh, no, no...""",FRIEND EAT PAY/SPEND THAT TEND FRIEND MEAT
where did you put the tree?,WHEN THEN WHEW/RELIEVED WHERE WHEN WHERE
when do you start travelling?,WHERE WHEN DOG STAY_2 WHERE
he decided to videotape himself riding on one wheel of the motorcycle.,HEADACHE VIDEOTAPE HEAR HEADACHE ONE MOTHER+FATHER ONE HEADACHE VIDEOTAPE NONE/NOTHING WHERE HEAR
he built himself a house made of wood.,AAA ASIA AUSTRALIA ARRIVE ASIA ABOUT AAA AAA
"basically, two different groups informed the world that deaf people do make noises, and that the stories deaf people share about the various noises involve...",DIFFERENT DEAF ABOUT DIFFERENT PEOPLE PEOPLE PEOPLE DIFFERENT WORLD MAKE THAT THAT AND WORLD TWO AND AND ABOUT DO-DO WORLD TWO WORLD DEAF WORLD DEAF THAT TWO DO-DO PEOPLE
"the teacher, does s/he like movies?",MOVE-AWAY MOVIE TEACH+AGENT LIKE MOVIE_2 MOVE-AWAY MOVE NOT-LIKE LIKE
"if there's an emergency, where will you go?",AND AND WHEN CAN MEAN CAN AND CAN GOOD/THANK-YOU MEAN WHERE
he gets out of bed and goes downstairs to see what is happening.,OH-I-SEE SEE-SEE HEADACHE SEE-SEE OUT BED WHAT BED AND OUT BED HEAR SEE-SEE
"john should go, he should.",SHOULD SHOULD HERE HERE HEADACHE HERE
"he, father, must buy a car for john (i'm telling you).",JOHN MUST AUSTRALIA CAR FOR ASIA FOR-FOR JOHN CAR AAA AAA CAR ASIA MUST BUY AUSTRALIA ANGELA
is mom sick?,DIAGNOSIS SICK/SILLY DIAGNOSIS
"if bob studies for his literature test, he will pass it for sure.",HEADACHE PASS HEADACHE FOR-FOR HEADACHE FOR FUTURE FOR-FOR FOR HIT FUTURE HEADACHE FOR-FOR BOB
mother went to the store.,GROUP/TOGETHER MOTHER+FATHER TO/UNTIL MOTHER GROUP/TOGETHER
the students refuse to listen to the teacher.,OFTEN HOUSE HOUSE TOMORROW REFUSE LISTEN LISTEN TOILET
"to build his house, he chopped up trees.",TREE UP-TO-NOW HEAR HOUSE SET-UP TOMORROW HEARING HEARING TOTAL
"last year, we read a lot of books.",ANGELA ASIA AUSTRALIA READ AUSTRALIA AUSTRALIA BOOK LAST AAA
where did john live last year?,GIVE DRIVE LAST LIVE LIVE LAST
"really, i would have preferred a mcdonald's burger--they're better than this one was.  oh well.  ",IDEA REALLY ALSO SISTER ABOUT REALLY THAT ALSO OH-I-SEE THAT REALLY THINK AND REALLY NONE AND THAT ALSO A-LOT THINK THAT CHARACTER THAT REALLY
if it's raining i'm still going outside.,RAIN BOXING BOXING THING THING OUT OUT HEARING BOXING
he/she will go to school if it's not canceled.,TO/UNTIL CANNOT TO/UNTIL NOT GO-OUT TOTAL GO-OUT SCHOOL STILL SCHOOL TO/UNTIL NOT STILL
those two friends dyed their hair together.,TWO HAIR+DYE DYE THEN FRIEND HAIR+DYE TWO
"no, i did use the right key. the car is broken.",INTRODUCE IDENTIFY ICL PAST+NIGHT HOUSE IDENTIFY CAR CAR USE_2 REFUSE USE USE USE
what time does mom finish work? at 2pm.,TIME-PERIOD WORK WHAT WHAT WORK FINISH WHAT FINISH TIME FINISH
the teacher gave each of the students one book.,TEACHER MOTHER+FATHER BOOK FATHER HAVE ONE EACH STUDENT SOMETHING/ONE
john is going to the library to read a good book.,AAA LIBRARY JOHN AREA JOHN BOOK ASIA AREA ASIA AAA GOOD/THANK-YOU
the student there loves chocolate but doesn't like reading.,ROOMMATE BUT LIKE REALLY+WORK LIKE CHOCOLATE CHOCOLATE READ HERE REALLY ACCIDENT
john bought many books.,MANY JOHN MANAGE/CONTROL MAN
"if the teacher requires it, john will read the book.",TEACHER READ MOTHER STILL READ MOTHER+FATHER JOHN REALLY GROUP/TOGETHER STILL BOOK
