input sentence,translation
"under n is ""noisy,"" too. this further informs that deaf people aren't silent, as people think. deaf people do really make noises.",THAT FOR DEAF PERSON IX FINE # SO # NO IX CANNOT WHERE IX REFUSE IX fs- BEACH SCL IX MAKE NOISE MAKE REALLY # IF IX HAVE MAKE TEACH+AGENT
who loves to watch fireworks?,# WHEN NOT BUY PLAID
john did not visit mary.,IX fs- MARY WHY IX
sunset and then sunrise.  the house starts shaking loudly.,IX fs- DANA DECIDE NOT HAVE TIME NOW
the clothes are on sale because they used to be expensive.,MOTHER+FATHER MOTHER+FATHER VACATION EVERY-YEAR fs- OF # NO IX LOOK WOW
"if clothes are on sale, my friends and i are definitely going to the mall.",# IF FRIEND FRIEND IX fs- BOB IX IX POSS s t i n t i
"he said, ""pissing like a horse is good."" she said, ""no! it's awful.  it's very loud.""",IX KISS-FIST POSS NEW FRIEND PLAY n t i fs- OF CULTURE
someone arrived here.,# NO ARRIVE
"john told mary, ""i am buying a house.""",fs- BOB IX fs- MARY BUY HOUSE
"once he learns the truth, he will be disgusted.",ONE IX ARRIVE MOVIE_2 IX NOT STAY_2 HOME WHY NOT
"there was a lot of beer everwhere, and people mingling.",ONE POSS BIRTHDAY_3 LOOK NOT IX REFUSE EAT IX SAY IN
"my friend looked at him and said ""oh, no, no...""",FRIEND IX FRIEND GROUP/TOGETHER
where did you put the tree?,IX KNOW IX NEVER SEE DCL
when do you start travelling?,HAVE TIME SCHOOL NOT BUY
he decided to videotape himself riding on one wheel of the motorcycle.,BAD l s e s e s t i c o n
he built himself a house made of wood.,IX PROCEED READ BOOK HAVE PINEAPPLE
"basically, two different groups informed the world that deaf people do make noises, and that the stories deaf people share about the various noises involve...",fs- OF NOISE MAKE PEOPLE OH-I-SEE PERSON WHO IN PUBLIC WHY fs- OF DEAF fs- EVEN VOICE IX NEVER BCL BCL DIFFERENT MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER MOTHER+FATHER
"the teacher, does s/he like movies?",HORSE DCL IN FINISH READ BOOK WHEN
"if there's an emergency, where will you go?",# IF IX IX IX THINK FINE IX CANNOT OUTSIDE
he gets out of bed and goes downstairs to see what is happening.,IX # IF IX # LA IN PUBLIC THAT HAVE
"john should go, he should.",fs- JOHN IX BUY PLAID SHIRT
"he, father, must buy a car for john (i'm telling you).",FRIEND POSS CAR WHO DCL BOSTON WHY NOT BUT
is mom sick?,STUDENT CAN ICL
"if bob studies for his literature test, he will pass it for sure.",fs- BOB IX IX MAN IX INTRODUCE NEW PERSON WOW TO/UNTIL NOT LIKE CHOCOLATE
mother went to the store.,POSS MOTHER IX GO-OUT SCL
the students refuse to listen to the teacher.,FRIEND GROUP/TOGETHER DCL REALLY ONE POSS BIRTHDAY_3
"to build his house, he chopped up trees.",FRIEND IX FEEL SAME NOT EXPERT MAKE REALLY WOW
"last year, we read a lot of books.",FRIEND FUTURE KNOW IX FINISH READ BOOK
where did john live last year?,fs- JOHN GO WHO MANY EXPERIENCE
"really, i would have preferred a mcdonald's burger--they're better than this one was.  oh well.  ",POSS SISTER IX fs- GRUNT s t i n u a l s t THAT POSS FAMILY MUST GRADUAL-IMPROVE DCL DEAF fs- RENT
if it's raining i'm still going outside.,FAMILY TEND COMMUTE BICYCLE
he/she will go to school if it's not canceled.,IX DECIDE TELL LOOK WHY IX IX MUST NICE/CLEAN u a l s
those two friends dyed their hair together.,FRIEND FRIEND GROUP/TOGETHER DCL DCL TOGETHER/GO-STEADY_2 DCL
"no, i did use the right key. the car is broken.",IX CAN DCL HAVE DEAF PEOPLE IX SAY
what time does mom finish work? at 2pm.,DRESS/CLOTHES # JOB IX fs- BEACH MANY THING WOW
the teacher gave each of the students one book.,MOTHER BOOK STUDENT POSS NEW CAR UP-TO-NOW - c
john is going to the library to read a good book.,MUST CAR IX READ BOOK CHOCOLATE
the student there loves chocolate but doesn't like reading.,STUDENT IX KISS-FIST IX DEPART QM
john bought many books.,fs- BOB GIVE CAR
"if the teacher requires it, john will read the book.",IDEA fs- JOHN SHOULD IX NOT BUY MOTHER THAT IX NOT
one of my former students told me a story about her experience when she took the sat in high school.,FRIEND GROUP/TOGETHER
"when it happens to rain, i stay home.",# BQQ PARTY IX IX THINK HOME STILL HOT
"...it can create a fumble,  ",fs- OBAMA IX THINK MANY DCL
john wants to sell (his/a) car.,fs- JOHN TAKE READ BOOK
"""i am fine,"" he said.",SCL DEAF PEOPLE
"one well-known videotape by angela petrone stratiy, made in 1999, called ""deaf people have problems,"" shares some experiences about things that make noises, as a warning.",# SO POSS IDENTIFY BUT FUNNY MORE FRIENDLY DEAF DCL HOPE
