input sentence,translation
what are the criteria to apply for analyzing deaf speech?,PEOPLE WHAT+ACTION IN CUED-SPEECH SCL WHAT DCL WHY WHAT GREATECHWAECH WHATS-UP DEAF CUED-SPEECH WHAT GREATECHWAECH SPEECH WHAT+ACTION WHATS-UP WHAT+ACTION WHATS-UP QM WHATS-UP QM POSS WHAT+ACTION WHO WHAT+ACTION CAR WHATS-UP SPEECH WHAT CUED-SPEECH SPEECH CUED-SPEECH MOTHER SPEECH REALLY THAT REALLY WHAT CAR CUED-SPEECH GREATECHWAECH
"sometimes they don't realize they're using their voice, ""mmmmmmm,"" “humm,” and “mmmmmm.” so there are a lot of stories all over about deaf people and their humming.",EVERY-MORNING NONE/NOTHING STRING BUILDING SWIRLING INTERESTING ROWING MEETING SOME+ONE MORNING SOME+THING EVERY+THING NOTHING ANY+THING SOMETHING/ONE KNOW-NOTHING WATER+TUBING SOME+THING SOMETIMES BOXING ANY+THING MEETING BRING DOING NONE/NOTHING ANY+THING MORNING SOME+ONE MEETING SOME+THING NOTHING TEXTING SOME+THING INTERESTING TEXTING LIGHTNING SOME+THING FISHING HEARING STRING SWIRLING ANY+THING BRING WEDDING SOME+THING TRACK-RING LIST-ORDER-RING NEXT/UPCOMING TEXTING KING INTIMIDATING SOME+THING SOME RING SPRING SOME+THING NONE/NOTHING MEETING WYOMING RING THING ANY+THING MORNING SOME+THING HEARING MEETING ANY+THING ROWING SOMETHING/ONE SOME
"still, wow, it is very expensive in la.",ONE STICKY STICK-ON-THROAT STICKY STICK-ON-SURFACE STICK-ON-THROAT STICKY STILL fs- STICK STILL STICK-ON-THROAT NOT fs- BEACH STITCH STICK STICKY STICK CAR STICK-ON-THROAT  STITCH POSS DEAF  STICK-ON-THROAT fs- ORIENTATION STICK-ON-THROAT DEAF DCL
"for example, they used different words for each group while asking them the questions.",SEASONS SAME POSS FORGET-IT FUTURE FORK IX # SEASONS  fs- BOB DCL ON FORMERLY IN DEAF FOREVER FORMERLY CAR FORGET-IT WORK FORK FORGET SEASONS
my sister went water tubing.,SWIRLING KING MORNING MEETING FISHING TRACK-RING NOTHING ROWING RING MORNING ROLL-ON-FLOOR-LAUGHING SPRING WYOMING BOXING SWASHBUCKLING STRING MORNING NOW+MORNING WATER+TUBING LIST-ORDER-RING FISHING ROWING KNOW-NOTHING SPRING EVERY+THING INTERESTING MEETING BUILDING ROLL-ON-FLOOR-LAUGHING DOING EVERY-MORNING NEXT/UPCOMING SPRING BUILDING NOW+MORNING IRRITATING ROWING NONE/NOTHING INTERESTING THING INTERESTING MORNING TEXTING HEARING WEDDING BOXING STRING SPRING INTERESTING KING EVERY+THING BUILDING ROLL-ON-FLOOR-LAUGHING BEING DOING SWIRLING KING TEXTING TUBING BUILDING TUBING LIGHTNING TIE_2+FISHING TRACK-RING FISHING OUTGOING WINNING EVERY-MORNING THING TUBING
"while i was a graduate student, in a linguistics class, a professor gave a lecture about syntax.",# IF WHICH WHY WHIRL-TIME-PAST WOW WHICH WHO WHITE IX REALLY POSS SYNTAX WHIRL-TIME-PAST WHICH WHO POSS SYNTAX # WHEN WHIRL-TIME-PAST BUT DCL IX MUST fs- SYNTAX POSS WHO WHIRL-TIME-PAST WHIP
i just finished reading a book and i noticed there was a page missing.,WATER+TUBING NOW+MORNING MEETING WATER+TUBING EVERY+THING SPRING TIE_2+FISHING BOXING WYOMING IRRITATING EAT+MORNING NOTHING ANY+THING ROWING FISHING BRING EVERY+THING FISHING WATER+TUBING MEETING ANY+THING WEDDING MEETING TUBING ROWING TUBING ROWING INTERESTING LIGHTNING KING MEETING BOXING IRRITATING WEDDING EVERY-MORNING NONE/NOTHING FISHING BOXING THING EVERY-MORNING BRING BUILDING FISHING TIE_2+FISHING TEXTING WEDDING STRING WYOMING KING EAT+MORNING TAPE-RECORDING BOXING LIST-ORDER-RING HEARING WEDDING EAT+MORNING ROWING OUTGOING LIGHTNING TRACK-RING BUILDING EAT+MORNING WYOMING RING THING EAT+MORNING KING WEDDING ROWING TAPE-RECORDING
i like chocolate cereal.,DCL NOT ARRIVE FUTURE STEAL DCL WHY CEREAL IX STEAL CEREAL STEAL FUTURE POSS CEREAL DRY-CEREAL REALLY CEREAL IX WHO DRY-CEREAL STEAL DCL CAR STEAL fs- CEREAL DRY-CEREAL NOT DRY-CEREAL BUOY STEAL WHY IX LIKE
the wolf inhaled deeply and blew at the house.  the grass house blew away.,BLOWN-AWAY HIGHWAY MOVE-AWAY POSS WAY fs- PARK DCL THEN GO-AWAY THEREFORE PUT-AWAY THEREFORE WAY BLOWN-AWAY SCL WAY
john likes cars and books.,NOW JOHN NOT FINISH WHERE IX JOHN WORK ON NOW FUTURE JOHN-STEWART NOT JOHN-STEWART POSS NEW PEOPLE JOHN JOHN-STEWART  DEAF PEOPLE WHY TO/UNTIL JOHN-STEWART CAR BUOY WHY MUST MARY IN
mother will give me twenty dollars if i clean the kitchen.,THEN DRIVE MOTHER MOTIVATE COOK/KITCHEN WHEN SCL MOTIVATE ONE fs- KITCHEN
which of those two books did the student give the teacher?,WHIP OTHER WHIP FATHER BROTHER GATHER HER OTHER WHIRL-TIME-PAST GRANDMOTHER WHIP IX OTHER WEATHER WHIRL-TIME-PAST MOTHER MOTHER+FATHER OTHER WEATHER MOTHER GRANDMOTHER GROUP/TOGETHER GATHER GROUP/TOGETHER WHICH BOTHER BROTHER OTHER WHICH FATHER OTHER BROTHER WEATHER OTHER GRANDMOTHER MOTHER WHICH WEATHER  WHICH GATHER TEACHER HER FATHER GATHER FATHER HER FATHER MOTHER BOTHER TOGETHER GRANDFATHER GATHER GROUP/TOGETHER BOTHER MOTHER OTHER WHIP TOGETHER MOTHER IX FATHER GRANDMOTHER WHICH MOTHER+FATHER OTHER FATHER BOTHER GRANDFATHER WHIRL-TIME-PAST
"she would tell my mother everyday ""i want a deaf sister.""",ANYWAY/NOT-MATTER WATER ROCHESTER DAUGHTER CENTER CHARACTER OVER/AFTER BREAK+ENTER SHEET-CAKE CHAPTER AFTER BUTTER REPORTER NUT+BUTTER REPORTER LATER CHAPTER POSTER SHEET-CAKE BREAK+ENTER CENTER COMPUTER ENTER NUT+BUTTER AFTER DAUGHTER POSTER SEMESTER GLITTER BREAK+ENTER OVER/AFTER POSTER SHEEP AFTER POSTER WATER MONSTER COMPUTER DAUGHTER BUTTER GLITTER WATER SCREEN/FILTER SHEET-CAKE ENTER BETTER SEMESTER ENTER SCREEN/FILTER COMPUTER AFTER POSTER SEMESTER REPORTER POSTER DAUGHTER SEMESTER SISTER SEMESTER GLITTER CHAPTER SCREEN/FILTER CENTER BUTTER SISTER SEMESTER CHARACTER SHEET-CAKE CHARACTER CENTER
bob hasn't gone to the post office.,DCL SLICE NICE  SLICE BOB MOTHER SHOULD TWICE # VOICE SLICE NICE JUICE
friends hosted a pizza dinner.,PEOPLE FATHER WINNER DINNER FUTURE DINNER
which house did the student's father buy?,fs- SUE WHITE PAY/BUY fs- WHIP PAY/BUY
who won the lottery?,# WHOLE FINISH BUY ONE WHOLE WHO DCL
"in the future, john will go.",INTERRUPT INTELLIGIBLE INTERNATIONAL INTERCOURSE+fs-UP INTERPRET INTERNATIONAL INTERPRET+AGENT INTERVIEW INTERCOURSE+fs-UP INTERESTING INTERNATIONAL INTERVENTION INTIMIDATING INTRODUCE INTERVIEW INTERNET INTERACT/COMMUNICATE INTIMIDATING SCL INTERNET fs- INTERVIEW INTERACT/COMMUNICATE NOT SCL INTRODUCE FINISH INTELLIGIBLE IX INTERRUPT INTERPRET+AGENT INTERVENTION INTERVIEW INTRODUCE # INTIMIDATING INTERNATIONAL INTRODUCE INTELLIGIBLE INTERVIEW INTELLIGIBLE INTERVENTION INTERESTING INTERACT/COMMUNICATE WHO INTERESTING INTRODUCE CAR QM INTERRUPT WHO INTERPRET+AGENT INTERACT/COMMUNICATE INTERNATIONAL INTERVENTION INTERPRET+AGENT INTERPRET INTERRUPT INTELLIGIBLE
"there's a cultural range, you cannot go in the bathroom and emit waste loudly. people would be horrified. you have to emit the waste gently.",THEREFORE NOW THEN ONE WHY PERSON
"no, the car is not broken.",CHICKEN RAIN NOT NOT-MIND NOTHING-AT-ALL NOT-LIKE NOT-KNOW NOT-WANT NOT+MUST NOW NOT-CARE NOT-MIND IX NOTHING-AT-ALL NOT-WANT NOTHING DCL NOTICE NOT-KNOW NOT-MIND  NOT-CARE POSS NOT NOTICE NOT-YET CHICKEN NOT NOTHING-AT-ALL NOT-KNOW NOT NOT-MIND WHY NOT-CARE  NOT+MUST NOT-CARE NOTHING NOT-CARE NOT-WANT NOTICE NOT-LIKE NOT-MIND NOT-CARE NOT-WANT  CAR NOT-CARE NOTICE NOT-KNOW NOT-MIND NOT-KNOW NOT+MUST NOT-CARE CHICKEN NOTHING-AT-ALL CHICKEN NOT-WANT NOTICE FATHER NOT-KNOW NOTHING-AT-ALL NOT-KNOW NOT-WANT NOT NOTHING NOT-YET BUY NOT-LIKE NOTHING-AT-ALL
"so, let's see, what else is on the list...i have to admit that mexican food in la is better.",BUTTER OVER/AFTER ROCHESTER OVER/AFTER DAUGHTER ANYWAY/NOT-MATTER SOLICIT BUTTER REPORTER BREAK+ENTER MONSTER WATER CHAPTER LATER CUTTER SCREEN/FILTER CUTTER SOLICIT DAUGHTER NUT+BUTTER ENTER BETTER BREAK+ENTER WATER BETTER SOLICIT BREAK+ENTER BUTTER ROCHESTER GLITTER REPORTER LATER CENTER BUTTER OVER/AFTER SISTER MONSTER LATER SOLICIT SISTER CUTTER REPORTER BUTTER BETTER CHAPTER CENTER CHAPTER BREAK+ENTER POTTER CHARACTER AFTER WATER POSTER LATER OVER/AFTER CHAPTER ENTER NUT+BUTTER WATER POTTER SISTER SCREEN/FILTER CHARACTER COMPUTER AFTER COMPUTER CUTTER ENTER WATER REPORTER
the students refuse to listen to the teacher.,MOTHER+FATHER TOGETHER BUY GRANDFATHER OTHER WEATHER GATHER TOGETHER WEATHER MOTHER SCL BOTHER MOTHER WEATHER THEREFORE GATHER TOGETHER GATHER GROUP/TOGETHER TOGETHER TEACHER BOTHER GRANDMOTHER BROTHER GATHER OTHER GRANDFATHER WEATHER HER WEATHER HER THEREFORE WEATHER HER GROUP/TOGETHER MOTHER FATHER OTHER THEN FATHER GROUP/TOGETHER OTHER GATHER GROUP/TOGETHER BOTHER OTHER GRANDFATHER MOTHER FATHER GRANDMOTHER HER THEREFORE MOTHER GROUP/TOGETHER TEACHER THEN HER FATHER OTHER BOTHER GRANDFATHER WEATHER BOTHER TEACHER OTHER GRANDMOTHER BROTHER TEACHER  TEACHER
