input sentence,translation
it's that student's mother that is buying a car.,IX BCL
john won't like the movie.,fs- JOHN IX NOT LIKE IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
mother likes movies.,MOTHER IX LIKE THAT IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
it won't open til 9 or 10 in the morning.  we were okay with it even though we had to wait for a bit. the mechanic finally opened and they fixed the tire.,IX NOT IX NOT IX fs- IX fs- IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX MAKE REALLY IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
"another thing: in the summer, it's very humid here.",IX FUTURE IX FIND/FIND-OUT IX IX FUTURE IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
"i went for the steak--i love steak.  we ate quickly, ",IX IX IX IX SAY IX FINE IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX LIKE THAT IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
"you see the book over there, john finished reading it yesterday.",IX SEE IX fs- JOHN IX MUST IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
horses play on the farmland because they are too old to race.,IX IX IX
when did my friends start driving?,IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
"but of course they need to be informed in a polite way, so they will accept it.",IX IX IX
"if i arrive to work late, my boss will fire me.",IX IX IX IX
jack lied. he's not sick.,IX IX IX IX FINE IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX IX
