input sentence,translation
sue bought (is buying) the blue car.,SPARE CLOSE-GATE STITCH THROW ADD-TO POPCORN INTERESTING CIGARETTE SILLY LINGUISTICS RECENT-PAST HILL TAKE-OUT COLORADO CHASE DISCONNECT OPTION IBM THINK+LONG-LIST APPOINTMENT NAB LOUSY TEA JASON CREAM+CHEESE COLLARS ETC. MISTAKE TRACK-RING ROWING PACE REPAIR_2 OLD+NINE LOWERCASE/TINY PRODUCT TIME DARK ADVISE INJECT PREFER STEAK FALL-IN-LOVE LIGHT LANGUAGE AFTER 3 V a LEARN+AGENT EUROPE GUITAR CLICK FLOWER 4 VALUE OK BLAME IN GOLD GET-IN PARALLEL TRUE-BUSINESS GALLAUDET NOW+MORNING GLITTER CORNER INJECT PARPF TRUCK SMOKE
i need to pay rent.,WOW/AWFUL STORM OK IRRITATING PAINT SEW SARAH-PALIN ALLERGY QUESTION B BUILDING WAY RING FUTURE PREVENT ENNIS MUST FALL NINETY-SIX UGLY TELL FRIDAY LINE OLD+AGE-SIX+HALF WAIVE CRISIS COMFORTABLE CORNER FRUIT CHEMICAL TEST_2 HEAVY PAY/SPEND SHOWER OFF MINN BLUE+fs-BERRY DRUGS PRETEND CABIN TAKE FOR STOPLIGHT ENCOURAGE ORGANIZATION SILK BREAKFAST ORANGE MOTORCYCLE DEAF-APPLAUSE STOOL SITES BUBBLES AFTERNOON_3 D ANN INTERPRET+AGENT DRUGS TOGETHER LESS BORE BELOW_2 ONE-MONTH UNIVERSITY CONFLICT/INTERSECTION SALLY GOOD/THANK-YOU+NIGHT PART RUN INSURANCE/INFECTION
it wasn't until later that i realized that the concept of deaf speech was really important.,JOB BARBARIC RING DEPRESS HEART LOOK-DOWN TWENTY-FIVE POINT-TO CAUCUS HELP CANNOT STORY CRASHED AA SUNDAY_2 OPTION HANG-UP-PHONE POUND/WEIGH THUMBS-UP/GOOD RIVER ABOVE_3 COUGH WELCOME DIE SHOOT WORRY MAIL FEW/CLOSE COOPERATE/UNITE CAR BRAKE HP RESPONSIBILITY SHUT PACE SO-SO JOURNEY LOOK-OVER TIE_2+FISHING HELMET LEAVE VISIT_2 DEPRESS LAUGH FRONT AWKWARD FOOTBALL EVALUATE PUT SWITCH SUMMER BELOW_2 MOTHER SITES UGLY LINE ALMOST PREVENT NORTH FRESH IMPOSSIBLE REGULAR WHAT+ACTION ALL-YEARS-HS HANDLE DCL HORRIFIED CHALLENGE PUMP ELITE
that's how powerful the language is.,FOOD SHAMPOO CONTRO SPREAD INVOLVEMENT LOCKERS ADMIT SPRING ABANDON POP DEER TOMORROW CALIFORNIA_2 FANCY AMY PULL DELICIOUS ENCOURAGE NOW+AFTERNOON_2 NOT-WANT PROFESSION SO STRIPE TAKE-OUT WHAT+ACTION MOVE-AWAY LAST-YEAR PASS-OUT_3 DISCUSS-INTENSELY EASY SON TWICE MOST SIMPLE HEADBAND SUPPOSE JUMP WINDOW THIRD-IN-LIST NINE BED SPEED TWO-HUNDRED SEE-SEE SOLICIT LOMBARDI NO-GOOD GIVE-UP+fs-UP BOOK ANALYZE_2 ^ EAT-UP READ_2 TRACK-MIDDLE SECOND-IN-LIST SARAH-PALIN ONE-HOUR WRITE STUDY_2 DEPART MONEY COME-ON WHICH NICE/CLEAN GROW-UP WORSE BETTER BELT OVER/AFTER SIXTY
he takes down a pry bar and pries open the coffin at each corner.,PINEAPPLE 4 VIDEOTAPE_2 EMOTION RUNNING-BACK ORGANIZATION WANT_3 SEATTLE TENN OHIO PARKINSONS CRISIS SHOOT CRASH THEREFORE LOWERCASE/TINY NINE PITY PEN SET-UP HOLD PARPF TIPS PANT KEEP PAPER SAD TEXTING_3 LIBRARY FROM MUSIC READ LOOK+SAME WEAR SILK ROLL-ON-FLOOR-LAUGHING JASON CELEBRATE CRAZY POLITICS STAY_2 CHARLES ABOUT EMBARRASS WET GROW-UP DIRECT BEHAVIOR RUN-OUT SPEECH/ORAL SPORT PET/SPOILED NUMB TEMPT CHESS TE GONE NOW+NIGHT URINE VOICE-RANGE CHEER MARKET BREAKFAST SARCASM CLOSE-BOOK COOLER WHIRL-TIME-PAST PERSONALITY ROLL-ON-FLOOR-LAUGHING BEAT
a deaf role model who has been trained can show the parents that he/she is perfectly fine.,FAR TWELVE+HALF FREAK CALL-BY-PHONE CAVIAR SIBERIAN BLOCK CONFIDENT TEN ZOOM VT ZOOM SHORTS SHH SPECIAL/EXCEPT+fs-LY PAINT_2 RAFT LEARN TEACH+AGENT SIGN HUM A-LOT BUS WAKE-UP FIRST PETE XRAY GUITAR BOY+SCOUT ABOVE INTERVENTION ORGANIZATION MONSTER THIRD-PLACE_2 PRACTICE PULL LOOK-LIKE GAZPACHO INVOLVEMENT PAST WASH FOCUS GUEST EMPTY-FROM-NOW-ON HILL PART DECLINE_2 QB SPA POP WORLD UNLESS KICK-OFF PART LEGAL/LAW POPCORN LA XRAY HAPPY LECTURE SIX_2+ZERO_3 MCDONALD SALLY AUDIENCE PUT-AWAY DEAF_2 ELEMENTARY TRACK-THUMB SPECIAL/EXCEPT+fs-LY ROPE
"except for utah group, the child had a deaf mentor, while the group from tennessee did not.",CHURCH SELF MUCH JOURNEY DEVIL PAY COLLARS SURGEON SCISSOR NUMBER CLOSE-BOOK ANY+THING HEAR+NOISE LAPD FAIL SWASHBUCKLING BLACK COMFORTABLE HARRY LISTEN ANY+WHERE AGAIN PACE OLD+FIFTEEN TWO_2 RESOURCES KNOW+NEG EXTENSIVE-KNOWLEDGE ANYWAY/NOT-MATTER BETH GHOST WITTY HEART SAVE-MONEY ROPE CRIB FOR-FOR ANNOUNCE PRINT POTS GET-IN-BED CLASS ADVISER SELF MEDICINE MEDICINE EIGHTY WERE NOTHING FUCK LA TRACK-THUMB CHAT PITY TEASE_2 MCDONALD US GIRL+CORRECT AFTERNOON_3 METAL PLACE OCEAN EVERY-MONTH/RENT GROUND LOG FEDERATION SEE-SEE THINK+BURST FIX CHOICE
"my car was in the middle of the road, angled perpendicular to the road.  i didn't know which direction i had been going!",FEW ONE-DOLLAR EARLY_2 QUIZ VOCALIZATION BELIEVE AIR ROOM HARD FIREWORKS_2 MIND FS-ZONE INTERESTING SHARPOVA GRADUAL-IMPROVE TURN CHOICE PLASTIC THINK-OVER r MUCH MANILA EMAIL EIGHT SELF APPLAUSE PERMIT XRAY 7 DONNA BIRD IND AIRPLANE BOSTON+PERSON DROP NOW+NIGHT MARY RSD TASKS CITY/COMMUNITY_3 MAN_2 SHINE_2 KERNEL REQUIRE FINALLY_2 MAYBE 0 HONEST DIRECT/EXPLAIN GOAL IMPLY LOCKER+BOX/ROOM PETRONESTRATIY VOICE FIND/FIND-OUT RELATIONSHIP-OFF FINE_2 WARN SEPT BLOW MCDONALD GOLD TRUST DECORATE PLAYER EVERY+ONE GERMANY TWO PROBLEM DANGER
"""really....uh....""",RING SEXUAL LOW/LOWER TROUNCE TYRANNY NOT-LIKE NERVOUS WIDE ALL-GONE PASS-OUT_2 SHEET-CAKE WERE UN+FORTUNATELY MOTIVATE READY BANKS GREEN BOAT_2 NIGHT PARALLEL TOTAL_2 UMBRELLA QUESTION COLLECT BRUCE-WILLIS FUCK N FINALLY/SUCCEED EXCESS TRUE-BUSINESS GO-AHEAD BIB DATE/DESSERT EXCITED 1 REPUBLICAN FOUR-THIRTY HEGEMONY OVER-NIGHT VOLUNTEER/SHIRT DISCUSS ROOF NEXT-TOPIC PLEASE/ENJOY FAST_3 ALCOHOL NEXT-WEEK UNLESS ALSO TWO_2+ZERO+THIRTEEN CHURCH BEING POSTER BROWN BASKETBALL o SOUTH AUTUMN COLLAR STYROFOAM LIST-ORDER-THUMB STRIPE WANT+NEG SOME+THING COURT NUMBER ILLEGAL APPLE WRESTLE FEW/CLOSE
i wish he and i could have watched it together.,YES_2 PAGER TREE BIRD WHO RAIDERS MUFFLE SAME_2 AT LOOK-FORWARD LEG TIRE 0 CRISIS SOME+THING [UNK] EMOTION_2 FLOW TWO_2+ZERO+THIRTEEN CAUCUS OAKLAND ELITE END LIVE BE ADDICTED STOOL VERY-FAST OK MAD BETWEEN STILL LAPD NUMB IMPORTANT DATE/DESSERT B FREE AT LIFE DRUG GUESS INTERVENTION BLOW QUIT LOCKERS HOME+WORK TEA STYROFOAM SARCASM ELEMENTARY FALL-INTO-IT WAVES USE LIP REPAIR_2 PITCH STATUS ORIENTATION BETWEEN/SHARE GET-TICKET MALE-COUSIN DISH FIRE TEST_2 ITS COLLIDED BLOOD FRUIT TO
