input sentence,translation
i have an older sister.,IX - 1p 5xx IX - 1p 5xx
"the teacher likes reading, but does she like movies? no, she doesn't.",TEACHER LIKE MOVIE
we decided to continue driving and we got to colorado. we stayed at a place there because it was late. we woke up late because we wanted to catch up on our sleep.,IX - 1p LOOK IX - 1p - WHECTANT IX - 1p - FIGHELECREATANT IX - 2p IX - 1p - ONLY
will mother buy a house?  no.,MOTHER BUY HOUSE
the outside is still hot and dry but it's still easier to grow crops in the l.a. area.,PIG IX - 3p - pl - arc REALLY ( 5 ) NONE CHEPPPPORTION
john should not buy a house.,fs - JOHN BUY HOUSE
...saw the whole thing.,IX - 3p HEARING IX - 3p MAN IX - 3p
who told bill yesterday? mary did.,TELL fs - BILLUE fs - MARY
(this is a story of) one of my worst experiences.,# SO IX - 1p 5xx IX - 3p fs - IX - 3p fs - SPORTANT
"really, last weekend, i got together with twenty friends",REALLY IX - 1p WHTANT IX - 1p 5xx
how many books did john's father give john?,fs - JOHN FUTURE ^ NOT BUY CAR
"i went to la after finishing high school.  i went to college at csun, calfornia state university at northridge. i went in '96.",IX - 1p IX - 1p WHELLLELLLL fs - BLLEL COLL CLL
he knew that i never take drugs.,REALLY IX - 1p FIGHTNING RAIN
"she said, ""so you know, mike's really hearing.  he's not deaf.""  ",SAY IX - 3p SAY 5xx IX - 3p SAY 5xx IX - 3p SAY 5xx
what is it that john likes?,IX - 3p fs - JOHN LOVE
"there were eight of us in the raft,  and both people in front had to be hearing.",REALLY IX - 3p WHECAUSE IX - 3p SPORTANT IX - 3p LIGHE
what did john buy yesterday? a book.,fs - JOHN BUY BOOK
what is it that john likes?,IX - 3p fs - JOHN LOVE
"i looked at him and asked, ""really? you called a cop on us?""",IX - 1p LOOK - pl - arc IX - 1p 5xx
"they were lapd, and were coming up running. ",REALLY IX - 3p WOOD IX - 1p - TOTAL TIRE
john lived in chicago.,fs - JOHN FINISH READY IX - 3p CHT
john's friend has candy.,fs - JOHN POSS - 3p NEW CAR
mother should not have bought a car.,MOTHER BUY CAR
some strange thing/person arrived.,SOMETHING / ONE BOAT SCL : 3xx
john bought a car yesterday and gave it to mother.,fs - JOHN BUY CAR
the teacher is in the house there right now.,TEACHER IN HOUSE
why doesn't john like chocolate?,fs - JOHN NOT LIKE CHOCOLATE MOTHERwg IX - 3p
has the teacher been in the house before?,TEACHER IX - 3p HOUSE
"but the hands behind the back, never again!",BUT IX - 3p fs - SPPORITE / ONE
the student's mother bought a car.,STUDENT BUY CAR
john should buy a car.,fs - JOHN BUY CAR
my heart was beating really fast.,IX - 1p BECREAK fs - BL
"he gave me instructions; he told me, ""you cannot get it wet.""",IX - 1p MOTHER + FATHER IX - 3p fs - TODMIT IX - 1p
"finally, an older man came in; he was a plastic surgeon.",IX - 3p REALLY IX - 3p WHEPPEMPELIC fs - BLICY
he keeps drinking cofffee.,ICLxx ICLxx ICLxx ICLxx ICLxx
they will stop and make sure no one brings in any fruits or vegetables from mexico.,REALLY IX - 3p WHREAMPPPPORTANT THING
who loves john?,fs - JOHN LOVE IX - 3p LOVE
"""where did it go? where did it go?"" he asks himself.",IX - 3p SAY 5xx REALLY IX - 3p fs - TODMIT IX - 3p IX - 3p fs - MARY
i arrived on friday night.,IX - 1p NEVER SEE fs - MARY
john used to not like chocolate.,fs - JOHN NOT VISIT fs - MARY
through a forest road lurches a husky person.,fs - JOHN FUTURE FINISH SEE IX - 3p HOUSE
i was really upset.,REALLY IX - 1p 5xx
we got back into our seats.  i was a bit shaken..,IX - 1p SCL : 1xx IX - 1p 5xx
the coffin shakes violently,ICLxx ICLxx ICLxx ICLxx
mother is reading the book.,MOTHER READ BOOK
john must buy a house.,fs - JOHN BUY HOUSE
"he got the scissors, the needle, and the string.  i saw the needle and the thick string and thought ""whoa!""",IX - 3p SPORTANT THING ABOUT IX - 3p fs - MUCH ABOUT IX - 1p 5xx
"i thought it should be fine, i told myself to think positive about this situation.",IX - 1p NOT - WHILL : 1xx IX - 1p 5xx
what did john buy yesterday?,fs - JOHN BUY HOUSE
the teacher is at the movies.,TEACHER LIKE MOVIE
"it is perfect, but during the fall in la, it still looks like summer.  it is still very hot.",IX - 3p NOT - FOOD IX - 3p - ADMIT IX - 3p ( 5 ) NONE COMPPPORTANT VINATION
we went on a trip to san francisco.  we enjoyed it so much and sf is a beautiful city.,IX - 1p - pl - arc IX - 1p - pl - arc DECIDE THINK ( 5 ) WHY ^ # SO IX - 1p DRIVE IX - 1p - 1p 5xx IX - 1p - TOTAL
"wow, there is a really big difference socially--in boston deaf culture, everyone mixes together as if we were from the same family.",IX - 3p REALLY IX - 1p WHEPPECAUSE IX - 1p 5xx REALLY ( 5 ) NONE CHELIGHEPPPPLEL
he puts the cover back on and nails down each corner.,IX - 3p - pl - arc GIRL WOOD HOUSE WOOD HOUSE
"all of sudden, a strong storm hit.  i was a bit nervous driving through it. ",IX - 3p SPORTANT THING 5xx
who told bill yesterday? mary did.,TELL fs - BILLUE fs - MARY
i tried to catch it.,IX - 1p IX - 1p IX - 1p - pl - pl - arc IX - 1p
some (kind of) boat sank near cape cod.,SOMETHING / ONE BOAT SCL : 3xx ns - COT COLE
"when the teacher finishes reading the magazine, she will read a book.",TEACHER GIVE IX - 3p READ BOOK IX - 3p
the coffin shakes violently,ICLxx ICLxx ICLxx ICLxx
they communicated fine through gesture and chatted a bit as they drove.,IX - 3p CHELOOD REALLY IX - 3p fs - SELICLIG IX - 1p - BIT RAIN LIFE
the person way over there has a book.,# ALL WOOD HOUSE
