translation,gloss
I am sure you noticed this bandage on my hand and wonder what happened.,IX-1p IX-1p REALLY IX-2p NOTICE #DO
"Yesterday, I worked with my friend.",REALLY YESTERDAY IX-1p WORK WITH FRIEND IX-loc
Tony and I grew up best friends.,fs-TONY IX-1p-pl-2 GROW-UP POSS-1p BEST FRIEND
"We were working, doing landscaping.",IX-1p-pl-2 WORK LANDSCAPE fs-LANDSCAPING IX-1p
We were cutting wood using a cutting tool that had a metal edge.,"IX-1p-pl-2 CUT fs-WOOD fs-CUTTER SAME DCL:bent-5""woodcutter"" WITH METAL CORNER"
The metal corner was really sharp! It had a big log on it.,"CORNER REALLY IX-3p SHARP (Y)WOW METAL WITH BIG fs-LOG DCL:curved5""log"""
There was many different sizes.,"DCL:curved5""log"" REALLY DIFFERENT SIZE REALLY DCL:5""pile"""
My boss is pretty strict.,REALLY POSS-1p BOSS PRETTY STRICT SAME
He told us we must finish everything before sunset.,SAY MUST END #ALL BEFORE SUNSET
I worked at a quick pace.,"IX-1p FINE IX-1p ICL:curved5""feedinglogsthroughmachine"""
There was one big log that I picked up but then I started to drop it.,"IMPACT ONE BIG fs-LOG DCL:curved5""biglog"" IX-1p BCL:curved5""pickinguplog"" BCL:curved5""droppinglog"""
I tried to catch it.,"IX-1p BCL:curved5""tryingtocatchlog"" GET fs-IT #BACK"
I got the log but the metal corner hit my hand.,"BUT STILL BCL:curved5""holdinglog"" DCL:B""cornerhittinghand"" METAL CORNER"
"When the metal corner sliced my hand, really, wow!","CORNER DCL:crvd-B""cornerslicinghand"" REALLY IX-3p WOW"
It looked like my fingers had been cut off!,LOOK+SAME IX-3p TRUE-BUSINESS CHOP IX-1p
It was not first time someone cut his finger with that same machine.,IX-3p NOT FIRST TIME SOMETHING/ONE OTHER TRUE-BUSINESS CUT POSS-3p SLICE FOR SAME THAT MACHINE
"Anyway, I tapped Tony and told him the bad news.","STILL ANYWAY/NOT-MATTER SAME IX-1p IX-1p BCL:Bent5""tappingshoulder"" fs-TONY BAD fs-NEWS"
I showed him my hand--it was bleeding profusely.,BLOOD REALLY
"Tony said that I should go to the hospital and I asked, ""are you sure?""",fs-TONY SAY MUST GO HOSPITAL IX-1p IX-2p REALLY
I thought maybe I could just bandage it and put pressure on it so it wouldn't bleed anymore.,"IX-1p IX-1p THINK CAN BANDAGE DCL:S""bandageonfinger"" HOLD ""quote"" PRESSURE ON fs-IT DCL:crvd-5""bandageonfinger"" REFUSE BLOOD MORE"
I was holding my hand but it still bled through my shirt.  Can you imagine that?,"REALLY TRUE-BUSINESS IX-1p BCL:curved5'holdingfinger"" STILL BLOOD THROUGH POSS-1p SHIRT IMAGINE REALLY"
So I decided go to the hospital.,IX-1p DECIDE GO HOSPITAL FINE
I told my boss that I had to go to the hospital because I needed stitches.,IX-1p TELL BOSS IX-1p NEED EXCUSE-GO NEED STITCH
"I thought to myself ""fine"" and went off to the hospital.",IX-1p FINE GO HOSPITAL IX-1p FINE
A thought struck me; I pulled out my wallet and opened it...,"FINE THINK+APPEAR IX-1p ICL""pickingwalletoutofpocket"" POSS-1p WALLET ICL""openingwallet"""
...I realized I didn't have my insurance information with me.,"BCL:5""openingwallet"" NOT HAVE POSS-1p INSURANCE/INFECTION INFORM WITH IX-1p IX-1p"
So we pulled over to a pay phone and Tony called the boss,"#SO IX-1p SCL:3""carpullingover"" PAY PHONE fs-TONY POSS-3p BOSS"
The boss said his company would cover the costs for stitches on my finger and everything.,SAY FUTURE POSS-3p COMPANY FULL POSS-1p IX-3p STITCH ETC. INCLUDE/ALL-INCLUDED
"My boss said, ""Yes, go ahead and use my name."" I was relieved.",IX-3p SAY YES GO-AHEAD USE POSS-1p NAME IX-1p WHEW/RELIEVED FINE
If he didn't pay for it then I don't know what I would have done!,SUPPOSE TRUE-BUSINESS IX-3p NOT (flat-O)PAY THEN IX-1p
They maybe would have to send the bill to my parents. My parents wouldn't be very happy.,MAYBE MUST SEND BILL fs-BILL TO POSS-1p MOTHER+FATHER REFUSE REALLY HAPPY
"I went to the hospital, but you know how hospitals are, they tend to keep you waiting forever!",#SO IX-1p GO HOSPITAL IX-1p REALLY KNOW HOSPITAL TEND FOREVER
"We sat down with them to give information about the insurance, the date, my social security number, etc. ","BPCL:bent-V""sitdownfacingeachother"" FALL-INTO-PLACE INSURANCE/INFECTION part POSS-2p INFORM IN fs-DATE #SS NUMBER REALLY COUNT-ON-FINGERS"
"I sat down and waited for a long time.  Finally, I went in. ","IX-1p BPCL:bent-V""sitdownfacingeachother"" WAIT FINALLY/SUCCEED IX-1p ENTER"
I was in the fast express care of the emergency area of the hospital.,REALLY IX-3p FAST fs-EXPRESS CARE EMERGENCY HOSPITAL AREA
"...you know, they have different buildings for different wards.  I went in and waited some more.","HAVE DIFFERENT BUILDING LCL:C""buildings"" IX-1p ENTER IX-1p IX-1p WAIT"
My hand kept bleeding and I was still waiting. ,REALLY BLOOD STILL BLOOD IX-1p WAIT
"A doctor came in, he was new and had just joined the staff.","REALLY ONE DOCTOR SCL:1""doctorcoming"" REALLY SELF-3p NEW RECENT-PAST JOIN POSS-3p fs-STAFF"
"I was a bit nervous--I trust young doctors, but would prefer an older one;  it doesn't matter though, it was fine.",IX-1p LOOK IX-1p TRUST YOUNG DOCTOR IX-1p FAVORITE/PREFER OLDER BUT IX-1p FINE
He looked at my finger and said he would like to call for a second opinion.,"LOOK BCL""holdingandexamininghand"" IX-1p CALL FOR SECOND OPINION"
"I thought ""ugh"" and ended up waiting again. ",IX-1p LOOK FINE IX-1p WAIT
I arrived there at two o'clock and it was already like 4:30 or 5 o'clock...,REALLY IX-1p IX-1p FINISH SAME FOUR-THIRTY FIVE
I still hadn't gotten my stitches.,FIVE IX-1p STILL NOT-YET GET STITCH SAME IX-1p
I hoped my finger wouldn't become dry (the blood) or whatever. So I kept waiting. ,IX-1p HOPE IX-3p NOT BECOME fs-DRY DRY TRUE-BUSINESS BLOOD fs-OR FINE IX-1p WAIT
"Finally, an older man came in; he was a plastic surgeon.","FINALLY/SUCCEED SCL:1""doctorcoming"" ONE OLDER MAN SELF-3p SPECIALIZATION PLASTIC SURGEON SCL:1""doctorcoming"""
I felt funny because a plastic surgeon was going to give me the stitches.,IX-1p LOOK FEEL FUNNY (25)WHY PLASTIC SURGEON DO STITCH ON IX-1p
"I thought some regular doctor, nurse, or even doctor's assistant could do it.",IX-1p THINK REGULAR DOCTOR fs-OR MAYBE fs-EVEN NURSE CAN DO fs-IT part SAME IX-1p fs-OR DOCTOR ASSISTANT part fs-EVEN MAYBE
"But all the same, he told me I better go downstairs and get an x-ray.",BUT SAME IX-1p IX-3p SAY BETTER DOWN fs-XRAY
He wanted to check if I had some air in my finger which could cause an infection.,WANT CHECK SUPPOSE HAVE SOME fs-AIR IN IX-loc (25>Y)WHY FUTURE CAUSE INSURANCE/INFECTION
My x-ray result showed that my finger was cut to the joint. ,SAME KIND fs-OF CUT REALLY CHOP POSS-1p fs-JOINT BONE IX-3p OVER/AFTER fs-XRAY RESULT
He said I was very lucky that my finger was not cut more or I would have lost it.  I was relieved!,"SAY EXPLAIN WOW IX-3p LUCKY NOT CHOP MORE CHOP #SO IX-1p LOSE BCL""fingerfallingoff"" IX-1p LOOK"
I went back upstairs to give the plastic surgeon my X-Ray results. ,"FINE IX-1p SCL:1""goingupstairs"" 1p:GIFT PLASTIC SURGEON POSS-1p fs-XRAY RESULT"
"Finally, he said we were ready.  He set everything up.",IX-3p SAY FINALLY/SUCCEED FINE READY SET-UP ETC.
"He got the scissors, the needle, and the string.  I saw the needle and the thick string and thought ""whoa!""",GET SCISSOR STRING METAL REALLY IX-1p LOOK falsestart METAL THICK STRING IX-1p LOOK WOW
He gave my hand a few injections. ,#SO IX-3p REALLY INJECT FEW TIME INJECT IX-1p
"My hand became numb, and he stitched it.",IX-1p BECOME fs-NUMB IX-1p IX-3p STITCH++
I could feel the stitches being pulled through--it felt like when you tie your shoes...,"IX-1p CAN FEEL PULL SEW SAME SEW ""quote"" TIE POSS-2p SHOE"
...that's kind of how the stitching felt.   ,ALMOST SAME SEW FEEL fs-IT IX-1p
"After he finished, he wrapped up my finger.","FINISH ICL:A""wrappingupfinger"" fs-THEN IX-1p"
"He gave me instructions; he told me, ""you cannot get it wet.""",IX-3p SAY GIFT-2p EXPLAIN SAY IX-2p CANNOT GET WET
"Then, when you shower, you will need to use a plastic bag to cover your hand.","THEN IX-2p IX-2p SHOWER MUST USE PLASTIC fs-BAG ICL:S""puttingbagonhand"""
"After he explained everything that I needed to do, I said ""fine, alright then"".",#SO GIFT-2p EXPLAIN ETC. INCLUDE/ALL-INCLUDED IX-1p FINE
I finally arrived home around 7:30.  I was beat.,IX-1p FINALLY/SUCCEED ARRIVE HOME SEVEN-THIRTY IX-1p
"Really, I had to take shower because I had been working all day, plus I had blood all over me.","REALLY IX-1p MUST SHOWER IX-1p WORK ALL-DAY PLUS BLOOD DCL:5""bloodallovershirt"" EVERY+WHERE ON IX-1p"
"So anyway, I went in the shower--I had put two bags on my hand to be safe.","#SO IX-1p ENTER SHOWER IX-1p IX-1p ICL:S""puttingbagonhand"" TWO fs-BAGS ICL:S""pullingtwobagsonhand""i fs-BE SAFE"
I wrapped my hand and the bag with a rubber band and walked into the shower.,"IX-1p ICL:10""wrappingaroundhand"" WITH RUBBER ICL:S""wrappingaroundhand"" IX-1p BPCL:V""walk"" IN SHOWER"
